sep=
1	0	0
2	1	1
3	2	1	2
4	1	-1	1
5	2	1	1
6	1	-1	1
7	2	1	1
8	1	-1	1
9	2	1
10	3	1	2
11	2	-1	1
12	3	1
13	4	1	2
14	3	-1
15	2	-1	2
16	3	1
17	4	1	2
18	3	-1
19	2	-1	2
20	3	1
21	4	1	2
22	3	-1
23	2	-1	2
24	3	1
25	4	1
26	5	1	3
27	4	-1
28	3	-1	2
29	4	1
30	5	1
31	6	1	3
32	5	-1
33	4	-1
34	3	-1	3
35	4	1
36	5	1
37	6	1	3
38	5	-1
39	4	-1
40	3	-1	3
41	4	1
42	5	1
43	6	1	3
44	5	-1
45	4	-1
46	3	-1	3
47	4	1
48	5	1
49	6	1
50	7	1	4
51	6	-1
52	5	-1
53	4	-1	3
54	5	1
55	6	1
56	7	1
57	8	1	4
58	7	-1
59	6	-1
60	5	-1
61	4	-1	4
62	5	1
63	6	1
64	7	1
65	8	1	4
66	7	-1
67	6	-1
68	5	-1
69	4	-1	4
70	5	1
71	6	1
72	7	1
73	8	1	4
74	7	-1
75	6	-1
76	5	-1
77	4	-1	4
78	5	1
79	6	1
80	7	1
81	8	1
82	9	1	5
83	8	-1
84	7	-1
85	6	-1
86	5	-1	4
87	6	1
88	7	1
89	8	1
90	9	1
91	10	1	5
92	9	-1
93	8	-1
94	7	-1
95	6	-1
96	5	-1	5
97	6	1
98	7	1
99	8	1
100	9	1
101	10	1	5
102	9	-1
103	8	-1
104	7	-1
105	6	-1
106	5	-1	5
107	6	1
108	7	1
109	8	1
110	9	1
111	10	1	5
112	9	-1
113	8	-1
114	7	-1
115	6	-1
116	5	-1	5
117	6	1
118	7	1
119	8	1
120	9	1
121	10	1	5
